file_name,n_tokens
mm2src/mm2_err_handle/src/map_to_mm_fut.rs,773
mm2src/mm2_err_handle/src/mm_error.rs,4847
mm2src/mm2_err_handle/src/mm_json_error.rs,500
mm2src/mm2_err_handle/src/or_mm_error.rs,295
mm2src/mm2_err_handle/src/split_mm.rs,307
mm2src/mm2_eth/Cargo.toml,219
mm2src/mm2_eth/src/address.rs,292
mm2src/mm2_eth/src/eip712.rs,1195
mm2src/mm2_eth/src/eip712_encode.rs,3997
mm2src/mm2_eth/src/lib.rs,28
mm2src/mm2_eth/src/recovery.rs,1026
mm2src/mm2_git/Cargo.toml,133
mm2src/mm2_git/src/github_client.rs,1151
mm2src/mm2_git/src/lib.rs,418
mm2src/mm2_gui_storage/Cargo.toml,307
mm2src/mm2_gui_storage/src/account/mod.rs,1025
mm2src/mm2_gui_storage/src/account/storage/account_storage_tests.rs,5929
mm2src/mm2_gui_storage/src/account/storage/mod.rs,2099
mm2src/mm2_gui_storage/src/account/storage/sqlite_storage.rs,6735
mm2src/mm2_gui_storage/src/account/storage/wasm_storage.rs,4730
mm2src/mm2_gui_storage/src/context.rs,231
mm2src/mm2_gui_storage/src/lib.rs,23
mm2src/mm2_gui_storage/src/rpc_commands.rs,3513
mm2src/mm2_io/Cargo.toml,260
mm2src/mm2_io/src/file_lock.rs,1472
mm2src/mm2_io/src/fs.rs,2564
mm2src/mm2_io/src/lib.rs,38
mm2src/mm2_libp2p/Cargo.toml,670
mm2src/mm2_libp2p/src/adex_ping.rs,515
mm2src/mm2_libp2p/src/atomicdex_behaviour.rs,9867
mm2src/mm2_libp2p/src/atomicdex_behaviour/tests.rs,3126
mm2src/mm2_libp2p/src/lib.rs,1831
mm2src/mm2_libp2p/src/network.rs,1145
mm2src/mm2_libp2p/src/peers_exchange.rs,4274
mm2src/mm2_libp2p/src/relay_address.rs,1925
mm2src/mm2_libp2p/src/request_response.rs,2752
mm2src/mm2_libp2p/src/runtime.rs,252
mm2src/mm2_main/Cargo.toml,1633
mm2src/mm2_main/README.md,2323
mm2src/mm2_main/src/database.rs,1409
mm2src/mm2_main/src/database/my_orders.rs,2935
mm2src/mm2_main/src/database/my_swaps.rs,1685
mm2src/mm2_main/src/database/stats_nodes.rs,907
mm2src/mm2_main/src/database/stats_swaps.rs,3599
mm2src/mm2_main/src/for_tests/check_order_serde_payload.json,245
mm2src/mm2_main/src/for_tests/iris_nimda_rick_maker_swap.json,3260
mm2src/mm2_main/src/for_tests/iris_nimda_rick_taker_swap.json,3689
mm2src/mm2_main/src/for_tests/recreate_maker_swap_maker_expected.json,2418
mm2src/mm2_main/src/for_tests/recreate_maker_swap_maker_payment_wait_confirm_failed_maker_expected.json,1625
